City	State
Sivasagar	Assam
Guwahati	Assam
Silchar	Assam
Jorhat	Assam
Papum Pare	Arunachal Pradesh
Changlang	Arunachal Pradesh
Lohit	Arunachal Pradesh
West Siang	Arunachal Pradesh
Tirap	Arunachal Pradesh
East Siang	Arunachal Pradesh
Kuma Kurg	Arunachal Pradesh
Dimapur	Nagaland
Kiphire	Nagaland
Kohima	Nagaland
Longleng	Nagaland
Mon	Nagaland
Phek	Nagaland
Tuensang	Nagaland
Wokha	Nagaland
Noklak	Nagaland
Chandel	Manipur
Imphal East	Manipur
Imphal West	Manipur
Senapati	Manipur
Thoubal	Manipur
Churachandpur	Manipur
Dhalai	Tripura
North Tripura	Tripura
South Tripura	Tripura
West Tripura	Tripura
Mamit	Mizoram
Aizawal	Mizoram
Kolasib	Mizoram
Champhai	Mizoram
Serchhip	Mizoram
Saiha	Mizoram
Lawngtlai	Mizoram
